unit_id,spike_count,orientation,phase,spatial_frequency
951092940,339,90.0,0.75,0.02
951092949,372,90.0,0.75,0.02
951092973,312,90.0,0.75,0.02
951092437,154,90.0,0.5,0.16
951092798,224,90.0,0.5,0.16
951092940,301,90.0,0.5,0.16
951092949,308,90.0,0.5,0.16
951092973,274,90.0,0.5,0.16
951092437,171,60.0,0.5,0.04
951092798,131,60.0,0.5,0.04
951092940,298,60.0,0.5,0.04
951092949,259,60.0,0.5,0.04
951092973,242,60.0,0.5,0.04
951092437,160,60.0,0.0,0.02
951092798,122,60.0,0.0,0.02
951092940,372,60.0,0.0,0.02
951092949,319,60.0,0.0,0.02
951092973,262,60.0,0.0,0.02
951092437,128,90.0,0.25,0.04
951092798,405,90.0,0.25,0.04
951092940,357,90.0,0.25,0.04
951092949,403,90.0,0.25,0.04
951092973,304,90.0,0.25,0.04
951092437,236,150.0,0.5,0.16
951092798,121,150.0,0.5,0.16
951092940,353,150.0,0.5,0.16
951092949,255,150.0,0.5,0.16
951092973,320,150.0,0.5,0.16
951092437,159,150.0,0.0,0.32
951092798,99,150.0,0.0,0.32
951092940,356,150.0,0.0,0.32
951092949,259,150.0,0.0,0.32
951092973,216,150.0,0.0,0.32
951092437,302,30.0,0.0,0.04
951092798,67,30.0,0.0,0.04
951092940,322,30.0,0.0,0.04
951092949,285,30.0,0.0,0.04
951092973,330,30.0,0.0,0.04
951092437,144,120.0,0.75,0.16
951092798,144,120.0,0.75,0.16
951092940,360,120.0,0.75,0.16
951092949,268,120.0,0.75,0.16
951092973,226,120.0,0.75,0.16
951092437,214,150.0,0.75,0.16
951092798,94,150.0,0.75,0.16
951092940,381,150.0,0.75,0.16
951092949,251,150.0,0.75,0.16
951092973,297,150.0,0.75,0.16
951092437,138,30.0,0.75,0.02
951092798,47,30.0,0.75,0.02
951092940,333,30.0,0.75,0.02
951092949,262,30.0,0.75,0.02
951092973,258,30.0,0.75,0.02
951092437,336,30.0,0.0,0.08
951092798,119,30.0,0.0,0.08
951092940,371,30.0,0.0,0.08
951092949,303,30.0,0.0,0.08
951092973,416,30.0,0.0,0.08
951092437,294,30.0,0.5,0.16
951092798,122,30.0,0.5,0.16
951092940,357,30.0,0.5,0.16
951092949,251,30.0,0.5,0.16
951092973,297,30.0,0.5,0.16
951092437,120,60.0,0.5,0.02
951092798,100,60.0,0.5,0.02
951092940,354,60.0,0.5,0.02
951092949,277,60.0,0.5,0.02
951092973,260,60.0,0.5,0.02
951092437,106,90.0,0.75,0.04
951092798,328,90.0,0.75,0.04
951092940,297,90.0,0.75,0.04
951092949,306,90.0,0.75,0.04
951092973,261,90.0,0.75,0.04
951092437,260,30.0,0.0,0.16
951092798,110,30.0,0.0,0.16
951092940,390,30.0,0.0,0.16
951092949,271,30.0,0.0,0.16
951092973,351,30.0,0.0,0.16
