unit_id,spike_count,orientation,phase,spatial_frequency
951093928,37,60.0,0.0,0.16
951098242,72,60.0,0.0,0.16
951092940,305,0.0,0.75,0.32
951093080,365,0.0,0.75,0.32
951093283,247,0.0,0.75,0.32
951093608,188,0.0,0.75,0.32
951093928,212,0.0,0.75,0.32
951098242,116,0.0,0.75,0.32
951092940,358,30.0,0.5,0.08
951093080,379,30.0,0.5,0.08
951093283,448,30.0,0.5,0.08
951093608,98,30.0,0.5,0.08
951093928,325,30.0,0.5,0.08
951098242,276,30.0,0.5,0.08
951092940,321,90.0,0.0,0.32
951093080,392,90.0,0.0,0.32
951093283,203,90.0,0.0,0.32
951093608,147,90.0,0.0,0.32
951093928,86,90.0,0.0,0.32
951098242,43,90.0,0.0,0.32
951092940,331,120.0,0.25,0.04
951093080,376,120.0,0.25,0.04
951093283,225,120.0,0.25,0.04
951093608,250,120.0,0.25,0.04
951093928,27,120.0,0.25,0.04
951098242,30,120.0,0.25,0.04
951092940,331,120.0,0.75,0.04
951093080,366,120.0,0.75,0.04
951093283,216,120.0,0.75,0.04
951093608,276,120.0,0.75,0.04
951093928,21,120.0,0.75,0.04
951098242,26,120.0,0.75,0.04
951092940,321,30.0,0.25,0.32
951093080,369,30.0,0.25,0.32
951093283,244,30.0,0.25,0.32
951093608,141,30.0,0.25,0.32
951093928,225,30.0,0.25,0.32
951098242,95,30.0,0.25,0.32
951092940,305,150.0,0.5,0.32
951093080,326,150.0,0.5,0.32
951093283,239,150.0,0.5,0.32
951093608,141,150.0,0.5,0.32
951093928,177,150.0,0.5,0.32
951098242,81,150.0,0.5,0.32
951092940,302,120.0,0.75,0.32
951093080,426,120.0,0.75,0.32
951093283,230,120.0,0.75,0.32
951093608,130,120.0,0.75,0.32
951093928,125,120.0,0.75,0.32
951098242,55,120.0,0.75,0.32
951092940,314,120.0,0.25,0.16
951093080,424,120.0,0.25,0.16
951093283,267,120.0,0.25,0.16
951093608,114,120.0,0.25,0.16
951093928,45,120.0,0.25,0.16
951098242,97,120.0,0.25,0.16
951092940,337,0.0,0.25,0.04
951093080,367,0.0,0.25,0.04
951093283,376,0.0,0.25,0.04
951093608,121,0.0,0.25,0.04
951093928,196,0.0,0.25,0.04
951098242,250,0.0,0.25,0.04
951092940,383,0.0,0.5,0.02
951093080,378,0.0,0.5,0.02
951093283,340,0.0,0.5,0.02
951093608,228,0.0,0.5,0.02
951093928,40,0.0,0.5,0.02
951098242,39,0.0,0.5,0.02
951092940,302,90.0,0.75,0.16
951093080,414,90.0,0.75,0.16
951093283,253,90.0,0.75,0.16
951093608,102,90.0,0.75,0.16
951093928,38,90.0,0.75,0.16
951098242,53,90.0,0.75,0.16
951092940,292,60.0,0.25,0.04
951093080,326,60.0,0.25,0.04
951093283,307,60.0,0.25,0.04
951093608,87,60.0,0.25,0.04
951093928,24,60.0,0.25,0.04
951098242,37,60.0,0.25,0.04
951092940,329,60.0,0.75,0.02
951093080,407,60.0,0.75,0.02
951093283,312,60.0,0.75,0.02
951093608,154,60.0,0.75,0.02
951093928,44,60.0,0.75,0.02
951098242,50,60.0,0.75,0.02
951092940,293,0.0,0.75,0.02
951093080,410,0.0,0.75,0.02
951093283,296,0.0,0.75,0.02
951093608,225,0.0,0.75,0.02
951093928,24,0.0,0.75,0.02
951098242,30,0.0,0.75,0.02
951092940,336,0.0,0.25,0.02
951093080,329,0.0,0.25,0.02
951093283,282,0.0,0.25,0.02
951093608,256,0.0,0.25,0.02
951093928,22,0.0,0.25,0.02
951098242,36,0.0,0.25,0.02
951092940,294,60.0,0.25,0.32
951093080,365,60.0,0.25,0.32
951093283,230,60.0,0.25,0.32
951093608,124,60.0,0.25,0.32
951093928,144,60.0,0.25,0.32
951098242,61,60.0,0.25,0.32
951092940,316,90.0,0.75,0.08
951093080,389,90.0,0.75,0.08
951093283,212,90.0,0.75,0.08
951093608,114,90.0,0.75,0.08
951093928,33,90.0,0.75,0.08
951098242,50,90.0,0.75,0.08
951092940,399,30.0,0.25,0.08
951093080,352,30.0,0.25,0.08
951093283,438,30.0,0.25,0.08
951093608,110,30.0,0.25,0.08
951093928,265,30.0,0.25,0.08
951098242,253,30.0,0.25,0.08
951092940,294,0.0,0.0,0.04
951093080,372,0.0,0.0,0.04
951093283,335,0.0,0.0,0.04
951093608,156,0.0,0.0,0.04
951093928,172,0.0,0.0,0.04
951098242,231,0.0,0.0,0.04
951092940,347,30.0,0.25,0.02
951093080,374,30.0,0.25,0.02
951093283,343,30.0,0.25,0.02
951093608,178,30.0,0.25,0.02
951093928,43,30.0,0.25,0.02
951098242,31,30.0,0.25,0.02
951092940,349,60.0,0.25,0.08
951093080,371,60.0,0.25,0.08
951093283,323,60.0,0.25,0.08
951093608,148,60.0,0.25,0.08
951093928,66,60.0,0.25,0.08
951098242,60,60.0,0.25,0.08
951092940,374,90.0,0.5,0.02
951093080,391,90.0,0.5,0.02
951093283,311,90.0,0.5,0.02
951093608,170,90.0,0.5,0.02
951093928,52,90.0,0.5,0.02
951098242,33,90.0,0.5,0.02
951092940,363,150.0,0.5,0.08
951093080,348,150.0,0.5,0.08
951093283,421,150.0,0.5,0.08
951093608,139,150.0,0.5,0.08
951093928,153,150.0,0.5,0.08
951098242,344,150.0,0.5,0.08
951092940,295,0.0,0.25,0.32
951093080,337,0.0,0.25,0.32
951093283,267,0.0,0.25,0.32
951093608,173,0.0,0.25,0.32
951093928,226,0.0,0.25,0.32
951098242,101,0.0,0.25,0.32
951092940,350,60.0,0.0,0.32
951093080,407,60.0,0.0,0.32
951093283,264,60.0,0.0,0.32
951093608,202,60.0,0.0,0.32
951093928,158,60.0,0.0,0.32
951098242,64,60.0,0.0,0.32
951092940,318,0.0,0.0,0.32
951093080,389,0.0,0.0,0.32
951093283,300,0.0,0.0,0.32
951093608,155,0.0,0.0,0.32
951093928,209,0.0,0.0,0.32
951098242,145,0.0,0.0,0.32
951092940,340,60.0,0.5,0.32
951093080,330,60.0,0.5,0.32
951093283,220,60.0,0.5,0.32
951093608,122,60.0,0.5,0.32
951093928,123,60.0,0.5,0.32
951098242,66,60.0,0.5,0.32
951092940,262,30.0,0.75,0.04
951093080,370,30.0,0.75,0.04
951093283,378,30.0,0.75,0.04
951093608,127,30.0,0.75,0.04
951093928,150,30.0,0.75,0.04
951098242,127,30.0,0.75,0.04
951092940,288,120.0,0.0,0.32
951093080,392,120.0,0.0,0.32
951093283,238,120.0,0.0,0.32
951093608,150,120.0,0.0,0.32
951093928,107,120.0,0.0,0.32
951098242,49,120.0,0.0,0.32
951092940,334,120.0,0.75,0.02
951093080,430,120.0,0.75,0.02
951093283,299,120.0,0.75,0.02
951093608,308,120.0,0.75,0.02
951093928,29,120.0,0.75,0.02
951098242,41,120.0,0.75,0.02
951092940,337,150.0,0.25,0.32
951093080,380,150.0,0.25,0.32
951093283,242,150.0,0.25,0.32
951093608,158,150.0,0.25,0.32
951093928,179,150.0,0.25,0.32
951098242,101,150.0,0.25,0.32
951092940,310,90.0,0.5,0.04
951093080,329,90.0,0.5,0.04
951093283,211,90.0,0.5,0.04
951093608,102,90.0,0.5,0.04
951093928,24,90.0,0.5,0.04
951098242,22,90.0,0.5,0.04
951092940,333,0.0,0.0,0.16
951093080,289,0.0,0.0,0.16
951093283,419,0.0,0.0,0.16
951093608,101,0.0,0.0,0.16
951093928,243,0.0,0.0,0.16
951098242,269,0.0,0.0,0.16
951092940,343,30.0,0.5,0.32
951093080,302,30.0,0.5,0.32
951093283,254,30.0,0.5,0.32
951093608,189,30.0,0.5,0.32
951093928,190,30.0,0.5,0.32
951098242,83,30.0,0.5,0.32
951092940,341,90.0,0.25,0.02
951093080,370,90.0,0.25,0.02
951093283,294,90.0,0.25,0.02
951093608,157,90.0,0.25,0.02
951093928,33,90.0,0.25,0.02
951098242,29,90.0,0.25,0.02
